variant,model,om_mean,trial_ci_low,trial_ci_high,trial_ci_pm,n_issues,om_pm
even_weight_binary_flip,grok-3,10.941279964811963,6.391384576773797,15.49117535285013,4.549895388038166,104,10.941 ± 4.550
even_weight_binary_flip,gpt-4o-mini,9.30287921005035,6.98951373914046,11.61624468096024,2.31336547090989,104,9.303 ± 2.313
even_weight_binary_flip,gpt-4o,8.214207169562348,5.664119438727445,10.764294900397251,2.5500877308349037,104,8.214 ± 2.550
even_weight_binary_flip,claude-opus-4,7.855769230769231,6.62621034990062,9.08532811163784,1.2295588808686106,104,7.856 ± 1.230
even_weight_binary_flip,gemini-2.0-flash,6.361111111111111,5.4690949603135675,7.253127261908654,0.8920161507975434,104,6.361 ± 0.892
even_weight_binary_flip,llama-3.1-8b,5.935897435897436,5.210563945349399,6.661230926445473,0.7253334905480368,104,5.936 ± 0.725
even_weight_binary_flip,claude-3.5-haiku,5.888888888888889,5.011537725387299,6.766240052390479,0.87735116350159,104,5.889 ± 0.877
even_weight_binary_flip,llama-3.1-405b,5.428418803418803,4.467532365674071,6.389305241163536,0.9608864377447325,104,5.428 ± 0.961
even_weight_binary_flip,grok-3-mini,5.333186716516384,2.6721427262080306,7.994230706824738,2.661043990308354,104,5.333 ± 2.661
weighted_binary_flip_original,grok-3,10.470884343767564,5.340120449878826,15.6016482376563,5.130763893888737,104,10.471 ± 5.131
weighted_binary_flip_original,gpt-4o-mini,9.303342240906401,6.0255341526649016,12.581150329147901,3.2778080882414993,104,9.303 ± 3.278
weighted_binary_flip_original,gpt-4o,7.679055787698848,4.959822731895617,10.39828884350208,2.719233055803232,104,7.679 ± 2.719
weighted_binary_flip_original,claude-opus-4,7.143281101614435,5.871079234283179,8.415482968945692,1.2722018673312567,104,7.143 ± 1.272
weighted_binary_flip_original,gemini-2.0-flash,6.25,5.347953879458772,7.152046120541228,0.9020461205412282,104,6.250 ± 0.902
weighted_binary_flip_original,grok-3-mini,5.614202282335117,2.599170755502398,8.629233809167836,3.015031526832719,104,5.614 ± 3.015
weighted_binary_flip_original,llama-3.1-8b,5.395892687559355,4.606103065334875,6.185682309783835,0.7897896222244801,104,5.396 ± 0.790
weighted_binary_flip_original,claude-3.5-haiku,5.378679962013295,4.423942858452255,6.333417065574334,0.9547371035610396,104,5.379 ± 0.955
weighted_binary_flip_original,llama-3.1-405b,5.191714150047483,4.2396093235498,6.143818976545166,0.9521048264976834,104,5.192 ± 0.952
