variant,model,om_mean,trial_ci_low,trial_ci_high,trial_ci_pm,n_issues,om_pm
even_weight_binary_flip,claude-opus-4,7.855769230769231,6.62621034990062,9.08532811163784,1.2295588808686106,104,7.856 ± 1.230
even_weight_binary_flip,gemini-2.0-flash,6.361111111111111,5.4690949603135675,7.253127261908654,0.8920161507975434,104,6.361 ± 0.892
even_weight_binary_flip,llama-3.1-8b,5.935897435897436,5.210563945349399,6.661230926445473,0.7253334905480368,104,5.936 ± 0.725
even_weight_binary_flip,claude-3.5-haiku,5.888888888888889,5.011537725387299,6.766240052390479,0.87735116350159,104,5.889 ± 0.877
even_weight_binary_flip,llama-3.1-405b,5.428418803418803,4.467532365674071,6.389305241163536,0.9608864377447325,104,5.428 ± 0.961
weighted_binary_flip_original,claude-opus-4,7.143281101614435,5.871079234283179,8.415482968945692,1.2722018673312567,104,7.143 ± 1.272
weighted_binary_flip_original,gemini-2.0-flash,6.25,5.347953879458772,7.152046120541228,0.9020461205412282,104,6.250 ± 0.902
weighted_binary_flip_original,llama-3.1-8b,5.395892687559355,4.606103065334875,6.185682309783835,0.7897896222244801,104,5.396 ± 0.790
weighted_binary_flip_original,claude-3.5-haiku,5.378679962013295,4.423942858452255,6.333417065574334,0.9547371035610396,104,5.379 ± 0.955
weighted_binary_flip_original,llama-3.1-405b,5.191714150047483,4.2396093235498,6.143818976545166,0.9521048264976834,104,5.192 ± 0.952
